% Model:              Untitled.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 16 2025, 16:59
% Table:              Table 1 - Global Evaluation 1
% Effective mode index                            Wavelength in free space (m)                      Confinement percentage (1)
1.3412372042286551-2.475745948771908E-8i          1.55E-6                                           19.342983459003978
1.4283600709965083+1.8937293940294265E-11i        1.55E-6                                           18.29171875979655
1.6067178371689053+3.16431846414248E-10i          1.55E-6                                           66.27204791908268
1.6067264271784703-1.3792905396755738E-12i        1.55E-6                                           66.27317946110361
1.8700063562604199-5.591789589741238E-14i         1.55E-6                                           74.85358558401384
1.8700197811557864+9.923443470269873E-15i         1.55E-6                                           74.85492554963116
2.060723822458122+1.551663298061888E-14i          1.55E-6                                           94.9213196863095
2.060726372391825+9.801794021818582E-15i          1.55E-6                                           94.92136913584497
2.365629920634727-9.184962284647585E-16i          1.55E-6                                           85.83693205300797
2.3656380828137267+4.5895154674806596E-15i        1.55E-6                                           85.8373018996244
2.728954945862807-6.4820927090717804E-15i         1.55E-6                                           96.20267552055269
2.788047490743256+1.3082706428304108E-15i         1.55E-6                                           97.08560834829203
2.7880479800966644                                1.55E-6                                           97.08561351753816
2.9216124846324547-4.701668937261447E-16i         1.55E-6                                           93.61789294747722
3.2246006358425743-7.312295749227788E-16i         1.55E-6                                           98.72000610929285
3.224600682765086                                 1.55E-6                                           98.72000623289517
