% Model:              Untitled.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 16 2025, 17:05
% Table:              Table 2 - Global Evaluation 2
% Effective mode index                            Loss                                              Propagation constant (rad/m)
1.6067178371689053+3.16431846414248E-10i          -28.91871644411394                                6513100.585343889
1.6067264271784703-1.3792905396755738E-12i        -52.52496072347409                                6513135.406390267
1.8700063562604199-5.591789589741238E-14i         -66.44601008586271                                7580384.814185744
1.8700197811557864+9.923443470269873E-15i         -73.95489429771071                                7580439.234253691
2.060723822458122+1.551663298061888E-14i          -72.01354342051033                                8353490.092531499
2.060726372391825+9.801794021818582E-15i          -74.00846257949328                                8353500.429116001
2.365629920634727-9.184962284647585E-16i          -84.29074452469541                                9589478.167455822
2.3656380828137267+4.5895154674806596E-15i        -77.30384991967071                                9589511.254219156
2.728954945862807-6.4820927090717804E-15i         -75.80436591645704                                1.1062277174064677E7
2.788047490743256+1.3082706428304108E-15i         -82.75454233737291                                1.130181872874641E7
2.7880479800966644                                -99.83180498421254                                1.1301820712422634E7
2.9216124846324547-4.701668937261447E-16i         -87.19899784304926                                1.1843246862396827E7
3.2246006358425743-7.312295749227788E-16i         -85.28098081487363                                1.3071460217192266E7
3.224600682765086                                 -94.169477931566                                  1.3071460407400547E7
